new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,2,0,0,2048,1,337.4748
0,2,2,1,0,0,512,5,163.7756
1,1,2,0,1,0,1024,1,337.4748
0,1,1,0,0,0,4096,5,337.4748
0,2,1,2,1,0,512,0,337.4748
1,1,1,1,1,1,1024,1,337.4748
0,0,1,1,1,0,2048,0,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,0,1,2,1,1,4096,9,337.4748
0,1,1,1,1,0,4096,0,337.4748
1,1,1,0,1,0,4096,0,32.5432
1,2,2,1,0,1,2048,0,337.4748
1,2,1,1,0,0,4096,5,337.4748
0,2,1,1,1,0,512,0,337.4748
1,1,1,1,1,0,2048,1,337.4748
0,1,2,0,1,0,512,1,337.4748
1,1,2,0,1,0,2048,9,337.4748
1,1,2,1,1,0,4096,0,32.9028
0,2,2,2,1,0,2048,5,165.781
0,0,2,1,0,0,2048,1,337.4748
1,2,1,2,0,1,4096,9,337.4748
1,0,2,2,0,1,1024,9,337.4748
0,0,1,2,1,1,4096,5,337.4748
1,0,1,0,1,1,1024,9,337.4748
1,1,1,0,0,1,1024,5,337.4748
0,0,2,0,0,0,512,0,161.8958
0,2,1,2,0,0,4096,9,337.4748
1,1,1,0,0,1,1024,9,337.4748
1,0,2,2,0,1,4096,0,164.1062
0,0,1,1,0,0,512,5,337.4748
1,1,1,2,1,1,2048,5,337.4748
1,2,2,2,1,0,1024,0,337.4748
1,2,2,0,1,1,2048,1,165.4646
1,0,2,2,1,0,512,5,337.4748
0,2,1,1,0,1,1024,9,337.4748
1,0,1,0,0,1,1024,1,337.4748
0,0,1,1,0,1,1024,1,337.4748
1,1,2,1,0,1,512,0,32.099
0,1,1,0,0,1,2048,9,337.4748
1,1,1,1,1,1,2048,9,337.4748
0,2,2,0,0,1,2048,1,165.9052
0,0,2,0,0,0,512,9,337.4748
